aita,cs,attention,gender_studies
0.02126276,-0.0067403563,-0.17458694,0.1183723
-0.112419166,-0.13627668,-0.049088124,-0.043018166
0.11369643,0.027145527,-0.092704,0.02879022
0.01384268,-0.10072904,-0.19051024,-0.052082155
-0.12805504,-0.037526697,-0.12639745,-0.09009469
-0.04225219,-0.11361766,-0.027400412,-0.012966855
0.17405494,-0.03500033,0.022415709,0.10708963
0.06539423,-0.064751744,-0.07112831,-0.110642165
0.07453808,0.04209553,0.053010337,0.12747794
-0.06760939,0.00011215291,0.028026486,0.018522639
0.062427837,-0.003776615,-0.027097603,0.0625497
-0.0024247798,0.2001997,0.053701125,-0.022424629
0.00087714527,0.033209622,0.044808283,0.0059810723
-0.09111326,-0.027470337,-0.03289336,-0.023764336
0.007358393,0.16140202,-0.1239294,0.15813923
-0.07307137,0.0041666646,0.04336784,-0.006736194
0.01467112,0.004391556,-0.0355276,0.017165694
-0.08344291,-0.18862423,0.14632832,-0.09399693
-0.3356179,-0.15483999,-0.19762476,-0.25737923
0.25150412,0.018701589,-0.18276188,0.16945113
-0.033866204,-0.25157073,0.06460215,-0.11634339
-0.06449163,-0.1996217,-0.10454322,-0.00017805517
0.14528286,-0.04772302,0.005587256,0.13113116
0.041903436,0.011226819,-0.0017398384,0.057056837
-0.12444046,0.0766508,0.11122693,-0.06744586
0.116688706,-0.0068621496,0.000580634,-0.01817742
-0.046308987,-0.10494005,0.07370064,0.005818455
0.047597818,0.005902605,-0.021175116,0.044604048
-0.10398668,-0.12685929,0.23259932,-0.18207696
0.033303663,-0.036765058,-0.18404625,-0.034921195
0.07575471,-0.0635105,0.04059837,0.0122855995
0.032065626,0.10574102,0.16029994,0.05460651
-0.014923363,0.11613075,0.11691999,0.0343127
-0.09016279,-0.04777485,-0.05575007,0.024204426
-0.0051922845,0.0344067,-0.29233128,-0.086906135
-0.0105779935,0.13554351,0.11115702,0.12876475
-0.01879241,-0.04993909,-0.09039955,0.06066602
0.034738082,0.03822455,-0.023591796,0.09593636
0.18719476,0.0018340232,0.008780382,0.09267832
-0.09138771,-0.089601845,0.07059045,-0.027207829
0.024112744,-0.04896667,-0.012744524,-0.015645197
-0.1279775,-0.15490507,0.12897062,-0.18884754
-0.15429203,-0.06402339,-0.011138487,-0.040958825
0.09147384,0.05906775,0.10752011,0.047350332
-0.07908097,-0.0765848,0.04880569,-0.021174368
0.04956322,-0.02880083,-0.06111714,-0.0071301027
0.23714465,0.078248136,-0.11958037,0.047509234
-0.06398295,-0.06076728,0.090613686,0.008376107
0.12931712,-0.0985457,-0.15458177,0.01597592
-0.11010576,0.0024346749,-0.06007324,-0.08029593
-0.010155166,-0.048651624,-0.022241667,-0.054384686
0.05766096,0.012114334,0.040923297,-0.0005790726
0.0032751134,0.058233075,-0.19913548,0.028209617
0.037041128,0.05262984,-0.018182417,0.10350959
0.055548534,-0.07371107,0.005058394,0.031138146
-0.04038011,0.040974952,0.14675204,0.01683531
